分区,播放量总量,硬币总量
动画,11471677,662049
国创相关,1486120,25705
音乐,6392642,207308
舞蹈,3478904,84900
游戏,18803073,692207
知识,11747076,307271
数码,2676646,42451
生活,24648033,403108
鬼畜,4776540,127694
时尚,5869693,82958
娱乐,5683327,75711
影视,8427271,180667
动画,50160614,2503330
国创相关,6876241,115279
音乐,32380123,964839
舞蹈,19910927,490583
游戏,56519834,2193864
知识,49642466,1710075
数码,11050244,375255
生活,112822271,3807851
鬼畜,27543916,837626
时尚,24798664,385585
娱乐,37780120,411079
影视,57432233,1495613
动画,128673076,6794609
国创相关,26377414,468490
音乐,115178717,4453103
舞蹈,51558656,1106441
游戏,157425635,8135912
知识,101194053,4764970
数码,34701504,1281270
生活,235463062,9739582
鬼畜,99529632,3266398
时尚,71903905,1353828
娱乐,89567676,1243761
影视,119706664,4840060
